"Organization","Board","List","Card #","Title","Link","Description","Total Checklist items","Completed Checklist items","Checklists","NumberOfComments","Comments","Attachments","Votes","Spent","Estimate","Points Estimate","Points Consumed","Created","CreatedBy","LastActivity","Due","Done","DoneBy","DoneTime","Members","Labels","Due Complete","Start",
"Trello Workspace","KanbanEase - Iteration 0","Product Backlog","100","As a user, I want to create task lists so that I can organize my work efficiently.","https://trello.com/c/h6fhfDEo","","0","0","","0","","","0","0","0","0","0","3/1/2025 11:23:15 PM","i210841 Muhammed Shahzaib Irfan Ahmed","3/20/2025 9:05:23 PM","","","","","","","true","",
"Trello Workspace","KanbanEase - Iteration 0","Product Backlog","101","As a user, I want to add, edit, and delete tasks so that I can keep my board updated.","https://trello.com/c/Razc93Mq","","0","0","","0","","","0","0","0","0","0","3/1/2025 11:23:16 PM","i210841 Muhammed Shahzaib Irfan Ahmed","3/20/2025 9:05:26 PM","","","","","","","true","",
"Trello Workspace","KanbanEase - Iteration 0","Product Backlog","102","As a user, I want to drag and drop tasks between lists so that I can quickly update their status.","https://trello.com/c/KKitk42N","","0","0","","0","","","0","0","0","0","0","3/1/2025 11:23:16 PM","i210841 Muhammed Shahzaib Irfan Ahmed","3/20/2025 9:05:28 PM","","","","","","","true","",
"Trello Workspace","KanbanEase - Iteration 0","Product Backlog","103","As a user, I want to set due dates for tasks so that I can track deadlines.","https://trello.com/c/8ezEVB96","","0","0","","0","","","0","0","0","0","0","3/1/2025 11:23:17 PM","i210841 Muhammed Shahzaib Irfan Ahmed","4/22/2025 6:19:17 PM","","","","","","","true","",
"Trello Workspace","KanbanEase - Iteration 0","Product Backlog","104","As a user, I want to add descriptions and notes to tasks so that I can provide additional details.","https://trello.com/c/euUKdzyc","","0","0","","0","","","0","0","0","0","0","3/1/2025 11:23:17 PM","i210841 Muhammed Shahzaib Irfan Ahmed","3/22/2025 11:21:20 PM","","","","","","","true","",
"Trello Workspace","KanbanEase - Iteration 0","Product Backlog","105","As a user, I want to add comments to tasks so that I can communicate with my team.","https://trello.com/c/hQWXFdKz","","0","0","","0","","","0","0","0","0","0","3/1/2025 11:23:18 PM","i210841 Muhammed Shahzaib Irfan Ahmed","4/22/2025 6:19:35 PM","","","","","","","true","",
"Trello Workspace","KanbanEase - Iteration 0","Product Backlog","106","As a user, I want to invite members to a board so that we can collaborate on projects.","https://trello.com/c/JArixKtL","","0","0","","0","","","0","0","0","0","0","3/1/2025 11:23:18 PM","i210841 Muhammed Shahzaib Irfan Ahmed","4/22/2025 6:19:41 PM","","","","","","","true","",
"Trello Workspace","KanbanEase - Iteration 0","Product Backlog","107","As a user, I want to assign tasks to specific team members so that responsibilities are clear.","https://trello.com/c/kGXGU0DK","","0","0","","0","","","0","0","0","0","0","3/1/2025 11:23:19 PM","i210841 Muhammed Shahzaib Irfan Ahmed","4/22/2025 6:19:52 PM","","","","","","","true","",
"Trello Workspace","KanbanEase - Iteration 0","Product Backlog","108","As a user, I want the board state to be saved automatically so that I don’t lose progress.","https://trello.com/c/KEUKo3ZF","","0","0","","0","","","0","0","0","0","0","3/1/2025 11:23:19 PM","i210841 Muhammed Shahzaib Irfan Ahmed","3/20/2025 9:05:38 PM","","","","","","","true","",
"Trello Workspace","KanbanEase - Iteration 0","Product Backlog","115","As a user, I want to create an account and log in securely so that my data remains private.","https://trello.com/c/qfkQ0jmL","","0","0","","0","","","0","0","0","0","0","3/1/2025 11:23:23 PM","i210841 Muhammed Shahzaib Irfan Ahmed","4/25/2025 5:41:19 PM","","","","","","","true","",
"Trello Workspace","KanbanEase - Iteration 0","Product Backlog","114","As a user, I want my board to update in real-time so that my team is always up-to-date.","https://trello.com/c/JqxiQRV8","","0","0","","0","","","0","0","0","0","0","3/1/2025 11:23:22 PM","i210841 Muhammed Shahzaib Irfan Ahmed","4/25/2025 5:41:13 PM","","","","","","","false","",
"Trello Workspace","KanbanEase - Iteration 0","Product Backlog","110","As a user, I want to mark tasks with priority levels so that I can focus on the most critical ones.","https://trello.com/c/wrI6Js54","","0","0","","0","","","0","0","0","0","0","3/1/2025 11:23:20 PM","i210841 Muhammed Shahzaib Irfan Ahmed","4/25/2025 5:42:02 PM","","","","","","","false","",
"Trello Workspace","KanbanEase - Iteration 0","Product Backlog","112","As a user, I want to filter and search tasks so that I can quickly find specific items.","https://trello.com/c/wq248iMR","","0","0","","0","","","0","0","0","0","0","3/1/2025 11:23:21 PM","i210841 Muhammed Shahzaib Irfan Ahmed","4/25/2025 6:59:07 PM","","","","","","","false","",
